key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
OACC,CCN,Chaghcharan Airport,Chaghcharan,Afghanistan,34.527018,65.275319,7383,4.5,U,Asia/Kabul
OAFZ,FBD,Fayzabad Airport,Faizabad,Afghanistan,37.117637,70.521594,3872,4.5,U,Asia/Kabul
OAHR,HEA,Herat International Airport,Herat,Afghanistan,34.212696,62.22599,3206,5,U,Asia/Kabul
OAIX,BPM,Bagram AFB,Kabul,Afghanistan,34.5646,69.1554,4895,4.5,U,Asia/Kabul
OAJL,JAA,Jalalabad Airport,Jalalabad,Afghanistan,34.400833,70.497223,1814,5,U,Asia/Kabul
OAKB,KBL,Kabul International Airport,Kabul,Afghanistan,34.565833,69.2125,5877,5,U,Asia/Kabul
OAKN,KDH,Kandahar International Airport,Kandahar,Afghanistan,31.506944,65.8475,3337,5,U,Asia/Kabul
OAKS,KHT,Khost Airfield,Khost,Afghanistan,33.333333,69.95,3756,4.5,N,Asia/Kabul
OAMN,MMZ,Maymana,Maimama,Afghanistan,35.926526,64.765882,2743,5,U,Asia/Kabul
OAMS,MZR,Mazar-i-Sharif International Airport,Mazar-i-sharif,Afghanistan,36.70919,67.20849,1284,5,U,Asia/Kabul
OASA,AZ3,Sharona,Sharona,Afghanistan,33.1277215,68.8369847,7400,4.5,N,Asia/Kabul
OATN,TII,Tarin Kowt Airport,Tarin Kowt,Afghanistan,32.605278,65.864167,3500,4.5,U,Asia/Kabul
OAUZ,UND,Kunduz Airport,Kunduz,Afghanistan,36.661336,68.90958,1457,5,U,Asia/Kabul
OAZJ,ZAJ,Zaranj Airport,Zaranj,Afghanistan,30.974556,61.865422,1581,4.5,U,Asia/Kabul
OBBI,BAH,Bahrain International Airport,Bahrain,Bahrain,26.270833,50.633611,6,3,U,Asia/Bahrain
OEAB,AHB,Abha Airport,Abha,Saudi Arabia,18.23429,42.657574,6858,3,U,Asia/Riyadh
OEAH,HOF,HOF,Al-ahsa,Saudi Arabia,25.285579,49.486481,588,3,U,Asia/Riyadh
OEAO,ULH,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,26.616667,37.866665,2047,3,N,Asia/Riyadh
OEBA,ABT,Al-Baha Domestic Airport,El-baha,Saudi Arabia,20.29401,41.64002,5486,3,U,Asia/Riyadh
OEBH,BHH,Bisha Domestic Airport,Bisha,Saudi Arabia,19.994509,42.618484,3887,3,U,Asia/Riyadh
OEDF,DMM,King Fahd International Airport,Dammam,Saudi Arabia,26.470556,49.798333,72,3,U,Asia/Riyadh
OEDR,DHA,King Abdulaziz Ab,Dhahran,Saudi Arabia,26.265417,50.152027,84,3,U,Asia/Riyadh
OEDW,DWD,Dawadmi Domestic Airport,Dawadmi,Saudi Arabia,24.5,44.4,3429,3,U,Asia/Riyadh
OEGN,GIZ,Jizan Regional Airport,Gizan,Saudi Arabia,16.900833,42.585556,20,3,U,Asia/Riyadh
OEGS,ELQ,Prince Nayef Bin Abdulaziz Regional Airport,Gassim,Saudi Arabia,26.302778,43.773889,2126,3,U,Asia/Riyadh
OEGT,URY,Gurayat Airport,Guriat,Saudi Arabia,31.411944,37.278889,1672,3,U,Asia/Riyadh
OEHL,HAS,Ha'il Regional Airport,Hail,Saudi Arabia,27.439722,41.687222,3331,3,U,Asia/Riyadh
OEJN,JED,King Abdulaziz International Airport,Jeddah,Saudi Arabia,21.670233,39.150578,48,3,U,Asia/Riyadh
OEKK,HBT,Hafar Al-Batin Domestic Airport,King Khalid Mil.city,Saudi Arabia,27.911552,45.522972,1352,3,U,Asia/Riyadh
OEMA,MED,Prince Mohammad Bin Abdulaziz Airport,Madinah,Saudi Arabia,24.544369,39.698967,2151,3,U,Asia/Riyadh
OENG,EAM,Najran Domestic Airport,Nejran,Saudi Arabia,17.613281,44.414646,3982,3,U,Asia/Riyadh
OEPA,AQI,Qaisumah Domestic Airport,Hafr Al-batin,Saudi Arabia,28.334408,46.121315,1174,3,U,Asia/Riyadh
OERF,RAH,Rafha Domestic Airport,Rafha,Saudi Arabia,29.626111,43.490556,1474,3,U,Asia/Riyadh
OERK,RUH,King Khalid International Airport,Riyadh,Saudi Arabia,24.958202,46.700779,2049,3,U,Asia/Riyadh
OERR,RAE,Arar Domestic Airport,Arar,Saudi Arabia,30.906389,41.138056,1813,3,U,Asia/Riyadh
OESH,SHW,Sharurah Domestic Airport,Sharurah,Saudi Arabia,17.469627,47.111853,2363,3,U,Asia/Riyadh
OESK,AJF,Al-Jouf Domestic Airport,Al-Jawf,Saudi Arabia,29.784722,40.101389,2261,3,U,Asia/Riyadh
OESL,SLF,Sulayel,Sulayel,Saudi Arabia,20.463751,45.61972,2021,3,U,Asia/Riyadh
OETB,TUU,Tabuk Regional Airport,Tabuk,Saudi Arabia,28.370095,36.601294,2551,3,U,Asia/Riyadh
OETF,TIF,Taif Airport,Taif,Saudi Arabia,21.480364,40.552685,4848,3,U,Asia/Riyadh
OETR,TUI,Turaif Domestic Airport,Turaif,Saudi Arabia,31.68873,38.73383,2803,3,U,Asia/Riyadh
OEWD,EWD,Wadi Al Dawasir Airport,Wadi-al-dawasir,Saudi Arabia,20.498444,45.20445,2062,3,U,Asia/Riyadh
OEWJ,EJH,Al Wajh Domestic Airport,Wejh,Saudi Arabia,26.198333,36.475556,66,3,U,Asia/Riyadh
OEYN,YNB,Yanbu Airport,Yenbo,Saudi Arabia,24.144722,38.063611,26,3,U,Asia/Riyadh
OIAA,ABD,Abadan International Airport,Abadan,Iran,30.366466,48.23127,19,4,E,Asia/Tehran
OIAI,QMJ,Shahid Asyaee,Masjed Soleiman,Iran,32.002372,49.270364,1206,4,E,Asia/Tehran
OIAM,MRX,Mahshahr Airport,Bandar Mahshahr,Iran,30.549672,49.152928,8,4,E,Asia/Tehran
OIAW,AWZ,Ahwaz International Airport,Ahwaz,Iran,31.3375,48.760278,66,4,E,Asia/Tehran
OIBB,BUZ,Bushehr International Airport,Bushehr,Iran,28.958284,50.825424,68,4,E,Asia/Tehran
OIBK,KIH,Kish International Airport,Kish Island,Iran,26.531786,53.971665,101,4,E,Asia/Tehran
OIBL,BDH,Bandar Lengeh Airport,Bandar Lengeh,Iran,26.531288,54.827751,67,4,E,Asia/Tehran
OIBP,PGU,Persian Gulf International Airport,Khalije Fars,Iran,27.383959,52.735516,27,3.5,U,Asia/Tehran
