key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
VTUD,UTH,Udonthani International Airport,Udon Thani,Thailand,17.387472,102.775278,579,7,U,Asia/Bangkok
VTUI,SNO,Sakon Nakhon Airport,Sakon Nakhon,Thailand,17.196358,104.11252,529,7,U,Asia/Bangkok
VTUK,KKC,Khon Kaen Airport,Khon Kaen,Thailand,16.464248,102.785913,670,7,U,Asia/Bangkok
VTUL,LOE,Loei Airport,Loei,Thailand,17.44554,101.726737,860,7,U,Asia/Bangkok
VTUO,BFV,Buriram Airport,Buri Ram,Thailand,15.226667,103.251111,590,7,U,Asia/Bangkok
VTUQ,NAK,Nakhon Ratchasima Airport,Nakhon Ratchasima,Thailand,14.954073,102.312006,765,7,U,Asia/Bangkok
VTUU,UBP,Ubon Ratchathani International Airport,Ubon Ratchathani,Thailand,15.251389,104.870278,406,7,U,Asia/Bangkok
VTUV,ROI,Roi Et Airport,Roi Et,Thailand,16.116555,103.778391,451,7,U,Asia/Bangkok
VTUW,KOP,Nakhon Phanom Airport,Nakhon Phanom,Thailand,17.388438,104.644148,587,7,U,Asia/Bangkok
VVBM,BMV,Buon Me Thuot Airport,Buonmethuot,Vietnam,12.669862,108.120234,1729,7,U,Asia/Ho_Chi_Minh
VVCA,VCL,Chu Lai International Airport,Chu Lai,Vietnam,15.40871,108.704498,10,7,U,Asia/Ho_Chi_Minh
VVCI,HPH,Cat Bi Airport,Haiphong,Vietnam,20.819761,106.72409,6,7,U,Asia/Ho_Chi_Minh
VVCM,CAH,Cà Mau Airport,Ca Mau,Vietnam,9.177499,105.177455,50,7,U,Asia/Ho_Chi_Minh
VVCR,CXR,Cam Ranh International Airport,Nha Trang,Vietnam,11.997568,109.219412,40,7,U,Asia/Ho_Chi_Minh
VVCS,VCS,Sân bay Cỏ Ống,Conson,Vietnam,8.731767,106.629449,20,7,U,Asia/Ho_Chi_Minh
VVCT,VCA,Can Tho International Airport,Can Tho,Vietnam,10.084729,105.714715,9,7,U,Asia/Ho_Chi_Minh
VVDB,DIN,Dien Bien Phu Airport,Dienbienphu,Vietnam,21.400381,103.005797,1611,7,U,Asia/Ho_Chi_Minh
VVDL,DLI,Lien Khuong Airport,Dalat,Vietnam,11.751128,108.365248,3156,7,U,Asia/Ho_Chi_Minh
VVDN,DAD,Da Nang Airport,Danang,Vietnam,16.043889,108.200278,33,7,U,Asia/Ho_Chi_Minh
VVNB,HAN,Noi Bai International Airport,Hanoi,Vietnam,21.218981,105.805292,39,7,U,Asia/Ho_Chi_Minh
VVNS,SQH,Na San Air Port,Son-La,Vietnam,21.218056,104.025,2133,7,N,Asia/Ho_Chi_Minh
VVNT,NHA,Nha Trang Airport,Nhatrang,Vietnam,12.227159,109.192862,20,7,U,Asia/Ho_Chi_Minh
VVPC,UIH,Phu Cat,Phucat,Vietnam,13.949686,109.047632,80,7,U,Asia/Ho_Chi_Minh
VVPK,PXU,Pleiku Airport,Pleiku,Vietnam,14.004339,108.016452,2434,7,U,Asia/Ho_Chi_Minh
VVPR,PHA,Phan Rang Airport,Phan Rang,Vietnam,11.6335,108.952,101,7,N,Asia/Ho_Chi_Minh
VVRG,VKG,Rạch Giá,Rach Gia,Vietnam,9.960608,105.133898,7,7,U,Asia/Ho_Chi_Minh
VVTH,TBB,Tuy Hoa Airport,Tuy Hoa,Vietnam,13.044167,109.33972,20,7,U,Asia/Ho_Chi_Minh
VVTS,SGN,Gate 18,Ho Chi Minh City,Vietnam,10.820873,106.654083,33,7,U,Asia/Ho_Chi_Minh
VVVH,VII,Vinh Airport,Vinh,Vietnam,18.735954,105.6694,23,7,U,Asia/Ho_Chi_Minh
VYBM,BMO,Bhamo Aorport,Banmaw,Burma,24.268289,97.24973,370,6.5,U,Asia/Rangoon
VYBR,NYU,Nyaung U,Nyuang U,Burma,21.181173,94.930563,290,6.5,U,Asia/Rangoon
VYDW,TVY,Dawei Airport,Dawei,Burma,14.099332,98.204553,84,6.5,U,Asia/Rangoon
VYEL,ELA,Naypyitaw International Airport,Naypyidaw,Burma,19.6225,96.201385,302,6.5,U,Asia/Rangoon
VYHH,HEH,Airport,Heho,Burma,20.743862,96.79341,3858,6.5,U,Asia/Rangoon
VYKG,KET,Yangon Airways,Kengtung,Burma,21.289469,99.604304,2798,6.5,U,Asia/Rangoon
VYKI,KHM,Khamti Airport,Khamti,Burma,25.987867,95.674054,6000,6.5,U,Asia/Rangoon
VYKL,KMV,Kalaymyo Airport,Kalemyo,Myanmar,23.188569,94.051145,499,6.5,U,Asia/Rangoon
VYKP,KYP,Kyaukpyu Airport,Kyaukpyu,Burma,19.426898,93.534789,20,6.5,U,Asia/Rangoon
VYKT,KAW,Kawthaung Airport,Kawthoung,Burma,10.049834,98.538315,180,7,U,Asia/Rangoon
VYLK,LIW,Loikaw Airport,Loikaw,Burma,19.69212,97.2152,2940,6.5,U,Asia/Rangoon
VYLS,LSH,Lashio Airport,Lashio,Burma,22.978499,97.752417,2450,6.5,U,Asia/Rangoon
VYMD,MDL,Mandalay International Airport,Mandalay,Burma,21.706209,95.974005,300,6.5,U,Asia/Rangoon
VYME,MGZ,Myeik Airport,Myeik,Burma,12.439893,98.621223,75,6.5,U,Asia/Rangoon
VYMK,MYT,Myitkyina Airport,Myitkyina,Burma,25.383433,97.352938,475,6.5,U,Asia/Rangoon
