iata,icao,name
,EAE,Aeroservicios Ecuatorianos,
,EJP,Aeroservicios Ejecutivos Corporativos,
,AEO,Aeroservicios Ejecutivos Del Occidente,
,SPO,Aeroservicios Ejecutivos Del Pacifico,
,GMS,Aeroservicios Gama,
,INO,Aeroservicios Intergrados de Norte,
,RJS,Aeroservicios Jet,
,SVM,Aeroservicios Monterrey,
,SIY,Aerosiyusa,
,JPR,Aerosmith Aviation,
,UAR,Aerostar Airlines,
,KRE,AeroSucre,
,SYT,Aerosud Aviation,
,MDX,Aerosud Charter,
,ASI,Aerosun International,
,SUP,Aerosuper,
5L,ASU,Aerosur,
,AES,Aerosur Paraguay,
VV,AEW,Aerosvit Airlines,
,ATK,AeroTACA,
,ART,Aerotal Aerolíneas Territoriales de Colombia,
,ITE,Aerotaxi,
,CBO,Aerotaxi del Cabo,
,AOX,Aerotaxi Del Valle,
,GTP,Aerotaxi Grupo Tampico,
,MXO,Aerotaxi Mexicano,
,VRI,Aerotaxi Villa Rica,
,BTS,Aerotaxis Albatros,
,TXF,Aerotaxis Alfe,
,IMN,Aerotaxis Cimarron,
,GUA,Aerotaxis de Aguascalientes,
,BHC,Aerotaxis De La Bahia,
,TXD,Aerotaxis del Noroeste,
,DML,Aerotaxis Dosmil,
,GMM,Aerotaxis Guamuchil,
,LTI,Aerotaxis Latinoamericanos,
,MTB,Aerotaxis Metropolitanos,
,AEP,Aerotec Escuela de Pilotos,
,ATD,Aerotours Dominicana,
,CDU,Aerotrans,
,ATG,Aerotrans Airline,
,TCO,Aerotranscolombina de Carga,
,TNO,Aerotransporte de Carga Union,
,PET,Aerotransporte Petrolero,
,CRP,Aerotransportes Corporativos,
,HUT,Aerotransportes Huitzilin,
,RRE,Aerotransportes Internacionales De Torreon,
,PRI,Aerotransportes Privados,
,PVA,Aerotransportes Privados,
,RFD,Aerotransportes Rafilher,
,TBL,Aerotrebol,
,TOC,Aerotropical,
,RTU,Aerotucan,
,RAI,Aerotur Air,
,TQS,Aeroturquesa,
,ALL,Aerovallarta,
,AVY,Aerovaradero,
,VEG,Aerovega,
,AEV,Aeroventas,
,CBE,Aerovías Caribe,
,CLL,Aerovías Castillo,
,DAP,Aerovías DAP,
,LAG,Aerovías De Lagos,
,GFO,Aerovías del Golfo,
,OVI,Aerovías Ejecutivas,
,MZL,Aerovías Montes Azules,
,OVC,Aerovic,
,VVG,Aerovilla,
,VIZ,Aerovis Airlines,
,VGF,Aerovista Gulf Express,
,VRO,Aerovitro,
,VUO,Aerovuelox,
,AWY,Aeroway,
,RXT,Aeroxtra,
,DST,Aex Air,
,FAN,AF-Air International,
,KIE,Afit,
,UAG,Afra Airlines,
,AFK,Africa Air Links,
,GIZ,Africa Airlines,
VJ,AFF,Africa Airways,
,AFY,Africa Chartered Services,
,AFZ,Africa Freight Services,
,AZL,Africa One,
,CFR,Africa One,
FK,WTA,Africa West,
AW,AFW,Africa World Airlines,
,FFB,Africair Service,
,FDA,African Airlines,
,AIK,African Airlines International Limited,
,ABB,African Business and Transportations,
,ACB,African Cargo Services,
,AXK,African Express Airways,
,AFN,African International Airlines,
,AIN,African International Airways,
,GIL,African International Transport,
,FDS,African Medical and Research Foundation,
QS,QSC,African Safari Airways,
,ASG,African Star Airways,
ML,ETC,African Transport Trading and Investment,
,AFC,African West Air,
RV,AFI,Africaone,
,FRJ,Afrijet Airlines,
,FRK,Afrika Aviation Handlers,
Q9,AFU,Afrinat International Airlines,
8U,AAW,Afriqiyah Airways,
,NFS,Afrique CArgo Service Senegal,
,FRQ,Afrique Chart'air,
,AOR,Afro International Ent. Limited,
,ZZM,Agence Nationale des Aerodromes et de la Meteorologie,
,GRR,Agroar - Trabalhos Aéreos,
